file_id,action,reason,duplicate_key,artist,album,title,size_bytes,source_path,keep_path,quarantine_path
3901,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | the package,A Perfect Circle,Thirteenth Step,The Package,11056527,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Package (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Package (2).mp3,
3915,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | the package,A Perfect Circle,Thirteenth Step,The Package,7457308,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/BNNH.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Package (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/BNNH.m4a
2683,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | vanishing,A Perfect Circle,Thirteenth Step,Vanishing,7003995,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Vanishing.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Vanishing (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/05 - Vanishing.mp3
3905,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | vanishing,A Perfect Circle,Thirteenth Step,Vanishing,7003995,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Vanishing (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Vanishing (2).mp3,
3921,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | vanishing,A Perfect Circle,Thirteenth Step,Vanishing,4710307,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/QPVJ.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/05 - Vanishing (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/QPVJ.m4a
2680,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | weak and powerless,A Perfect Circle,Thirteenth Step,Weak And Powerless,4689964,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Weak And Powerless.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Weak And Powerless (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/02 - Weak And Powerless.mp3
3902,keep,largest file in duplicate metadata group,a perfect circle | thirteenth step | weak and powerless,A Perfect Circle,Thirteenth Step,Weak And Powerless,4689964,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Weak And Powerless (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Weak And Powerless (2).mp3,
3917,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | thirteenth step | weak and powerless,A Perfect Circle,Thirteenth Step,Weak And Powerless,3177808,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/EGJB.m4a,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/02 - Weak And Powerless (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/EGJB.m4a
2698,quarantine,"same metadata artist, album, and title as kept file",acroma | orbitals | big karma now,Acroma,Orbitals,Big Karma Now,4668021,/mnt/d/Music/_Sorted_By_Artist/Acroma/08 - Big Karma Now.mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/08 - Big Karma Now (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/08 - Big Karma Now.mp3
3947,keep,largest file in duplicate metadata group,acroma | orbitals | big karma now,Acroma,Orbitals,Big Karma Now,4668021,/mnt/d/Music/_Sorted_By_Artist/Acroma/08 - Big Karma Now (2).mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/08 - Big Karma Now (2).mp3,
2691,quarantine,"same metadata artist, album, and title as kept file",acroma | orbitals | careless ones (intro,Acroma,Orbitals,Careless Ones (Intro),4940112,/mnt/d/Music/_Sorted_By_Artist/Acroma/01 - Careless Ones (Intro).mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/01 - Careless Ones (Intro) (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/01 - Careless Ones (Intro).mp3
3940,keep,largest file in duplicate metadata group,acroma | orbitals | careless ones (intro,Acroma,Orbitals,Careless Ones (Intro),4940112,/mnt/d/Music/_Sorted_By_Artist/Acroma/01 - Careless Ones (Intro) (2).mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/01 - Careless Ones (Intro) (2).mp3,
2699,quarantine,"same metadata artist, album, and title as kept file",acroma | orbitals | distance,Acroma,Orbitals,Distance,2839868,/mnt/d/Music/_Sorted_By_Artist/Acroma/09 - Distance.mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/09 - Distance (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/09 - Distance.mp3
3948,keep,largest file in duplicate metadata group,acroma | orbitals | distance,Acroma,Orbitals,Distance,2839868,/mnt/d/Music/_Sorted_By_Artist/Acroma/09 - Distance (2).mp3,/mnt/d/Music/_Sorted_By_Artist/Acroma/09 - Distance (2).mp3,
